建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
91.2,2,7165,13800,262,4,一梯一户,1995,3,1,14.8 ,7,3672,4036
67.1,2,5570,12450,158,4,一梯一户,1995,3,1,15.2 ,1,3625,4205
69,2,5464,13446,158,4,一梯一户,1995,3,1,14.0 ,7,3458,4053
68.9,2,5473,13458,168,4,一梯一户,1995,3,2,11.5 ,4,2794,4124
83,2,8430,10698,230,5,一梯两户,1995,3,1,13.3 ,7,3222,4126
67.8,2,6304,10680,248,9,一梯八户,1995,2,3,17.7 ,3,3112,5928
75.1,1,8812,6893,324,12,五梯三十二户,1995,2,2,22.8 ,7,3475,6893
82,2,11463,7819,235,6,一梯八梯,1995,1,2,24.4 ,2,5874,3633
91.3,2,7230,10955,278,4,一梯四梯梯,1995,1,6,26.1 ,2,5054,5682
95,2,9320,10258,295,6,一梯四梯梯,1995,1,7,31.3 ,2,6532,3645
83.3,1,10958,7970,190,9,一梯四户,1995,3,2,23.8 ,3,3155,6795
104.5,2,8939,11785,180,8,一梯一户,1995,3,7,27.5 ,2,8939,7872
81.9,2,5946,13759,155,8,一梯两户,1995,3,2,12.7 ,3,5946,9101
100,1,12419,6681,245,9,一梯八户,1995,3,7,34.4 ,6,5565,2956
100,1,13167,6363,223,9,一梯八户,1995,3,3,43.2 ,3,5555,4318
77,2,9315,10640,350,9,一梯三户,1995,2,2,22.7 ,1,4650,4881
74.1,2,9194,9688,310,9,一梯两户,1995,2,4,19.5 ,3,3274,4892
103.2,1,16640,6770,426,18,两梯二十三户,1995,2,1,21.2 ,3,4030,5440
132.5,1,14254,9707,320,28,二梯六梯,1995,3,8,31.5 ,3,4323,7293
85.1,2,14711,10629,430,4,一梯四梯梯,1995,1,3,23.6 ,5,14711,4846
131.6,1,10456,11395,131.6,4,一梯两户,1995,3,2,32.1 ,3,5846,5555
113.5,1,9564,11455,300,4,一梯两户,1995,3,2,37.4 ,3,4130,8556
59.9,1,6254,9774,470,6,一梯两户,1995,2,3,21.4 ,3,3820,7396
74.3,1,5670,11860,488,17,两梯十五户,1995,2,6,14.9 ,2,5230,2856
100.8,1,9827,11590,615,9,一梯十五户,1995,2,3,16.0 ,3,3465,4639
85.3,1,9754,10001,324,9,一梯比一梯四梯梯,1995,1,1,27.7 ,3,3682,8421
85.3,2,9814,10001,324,9,一梯十四户,1995,1,1,27.7 ,3,3682,8421
85.1,2,6063,11084,170,8,一梯两户,1995,2,3,28.8 ,3,3676,8143
88.9,1,7107,7107,200,7,一梯二梯,1995,3,4,31.8 ,3,3881,3881
86.7,1,131119,6931,460,32,三梯八户,1995,2,2,30.3 ,7,2678,6931
130,2,8458,13846,285,6,一梯四户,1995,3,4,36.3 ,1,4.916,7390
101,1,9985,10059,309,7,一梯三户,1995,3,2,29.3 ,3,3757,9521
162.4,1,13760,14270,495,28,二梯八梯,1995,2,4,45.8 ,7,4713,4579
111,1,8961,12872,590,30,两梯八户,1995,1,2,28.5 ,7,5876,4835
100.2,1,10875,9515,228,9,一梯六户,1995,3,3,29.2 ,3,3155,6716
134.3,2,12785,13495,250,7,一梯四户,1995,3,4,37.1 ,3,7075,5840
91,2,9200,8565,265,9,一梯二梯,1996,1,2,15.4 ,3,3555,4331
93.9,1,8842,8569,301,9,一梯四梯梯,1996,1,2,18.9 ,1,4518,3734
95.8,2,8563,9825,245,7,一梯两户,1996,3,2,18.0 ,1,3567,4793
78.9,2,7857,9491,250,7,一梯四户,1996,1,1,20.7 ,3,3720,5524
78.9,2,7857,9491,250,7,一梯四户,1996,1,1,20.7 ,3,3720,5524
96.3,1,10442,7287,420,8,一梯三户,1996,1,1,25.1 ,3,3413,6767
96.3,1,10442,8437,420,8,一梯三户,1996,1,1,13.7 ,3,3413,4014
112.8,2,10442,10848,208,7,一梯梯四梯梯户,1996,3,3,22.2 ,5,3953,4554
93,2,9141,11174,180,7,一梯四户,1996,3,4,21.4 ,3,4385,5645
93.3,2,8556,10832,180,7,一梯四梯梯,1996,3,4,23.6 ,7,3617,6951
76.4,2,7757,8981,525,9,一梯四户,1996,2,2,19.0 ,1,4671,3815
95.9,1,8800,10976,542,8,一梯四户,1996,2,3,21.7 ,5,2918,3861
79.8,2,9612,9204,382,9,一梯四户,1996,2,2,20.6 ,7,3240,6347
76.2,2,7408,10282,436,9,一梯四户,1996,2,2,19.9 ,3,3319,6535
95.9,1,8455,11341,542,8,一梯四户,1996,2,4,21.7 ,7,2918,4116
79.8,2,9332,8550,382,9,一梯四户,1996,2,1,20.6 ,7,3260,6347
78.9,2,7857,10840,250,7,一梯四户,1996,1,1,20.7 ,3,3720,5524
93.6,2,13037,7727,338,9,一梯六户,1996,1,1,35.3 ,1,6980,7727
106.3,2,8460,13277,150,7,一梯两户,1996,3,2,31.4 ,1,4195,4695
85.6,2,7861,11423,168,7,一梯四户,1996,3,4,20.2 ,3,4546,4405
88,2,10622,8723,163,7,一梯四户,1996,3,3,27.2 ,1,3684,7389
86.8,1,9116,10056,210,16,两梯八户,1996,3,6,11.2 ,2,3577,3140
87.2,2,13222,9534,240,9,一梯两户,1996,2,2,24.2 ,2,3418,5531
93,2,8450,10626,156,7,一梯四户,1996,3,8,20.0 ,4,4899,4102
92.6,2,3305,12346,540,9,一梯四户,1996,1,2,32.1 ,3,5550,5788
98,1,9385,8855,860,29,三梯六户,1996,1,1,33.2 ,3,3350,7295
131.5,1,17451,10085,860,29,两梯六户,1996,1,2,45.0 ,8,4500,6000
104.7,1,14340,8598,618,25,两梯十户,1996,2,3,19.8 ,1,3217,6185
96.3,2,6692,10288,285,9,一梯六户,1996,1,4,34.0 ,3,8432,6562
85.9,1,10759,9804,248,16,两梯八户,1996,3,7,18.2 ,4,3411,5022
100.2,1,8808,12904,390,19,两梯六户,1996,2,2,16.4 ,3,3839,4277
79.1,2,11325,9705,185,8,一梯四户,1996,3,3,25.0 ,7,9425,4646
66.8,1,7111,12249,272,9,一梯十户,1996,2,6,10.1 ,4,2906,3492
102.6,1,9020,9059,428,8,一梯两户,1996,2,1,36.3 ,7,6092,5332
78.3,1,8434,8304,510,8,一梯两户,1996,2,3,13.4 ,3,2846,4723
79.3,1,8529,8405,490,8,一梯两户,1996,2,4,10.1 ,7,2710,3744
70.3,2,6253,9957,490,9,一梯六梯,1996,2,3,22.6 ,3,3100,8622
115.7,1,8530,12870,313,11,一梯两户,1996,3,4,13.7 ,3,3720,3690
116,1,11810,8820,370,14,两梯三户,1996,3,1,21.3 ,3,3770,5620
127,1,12150,10920,260,17,两梯四户,1996,3,1,19.6 ,3,4170,4710
121.9,1,13286,10281,560,9,两梯十户,1996,2,1,50.3 ,5,8559,5343
85.2,1,10259,8012,390,8,一梯五户,1996,2,1,24.4 ,3,4282,5698
95,1,11711,5958,330,16,两梯八户,1996,3,8,29.7 ,4,7439,3678
113.4,2,8880,13182,290,8,一梯两户,1996,3,3,23.4 ,3,4319,5257
