建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
134.7,1,11186,11824,535,9,一梯两户,2001,3,1,23.6 ,8,3717,5934
99.3,1,12753,8245,388,15,两梯八户,2001,2,3,26.5 ,7,4013,5984
105.1,2,11889,9114,280,9,一梯三户,2001,2,4,18.8 ,7,5525,3405
90,1,9040,9955,343,9,一梯四户,2001,2,7,25.5 ,2,5988,4188
74.3,2,7739,10080,172,7,一梯两户,2001,3,3,14.2 ,3,3426,4156
85.5,2,8422,9969,198,7,一梯两户,2001,3,4,15.6 ,3,3814,3793
91.5,1,10776,9841,600,32,两梯五户,2001,1,2,23.8 ,3,7619,4084
158.9,1,15248,11607,955,32,两梯五户,2001,1,1,60.8 ,7,8030,11607
98.5,1,7635,11563,130,15,两梯八户,2001,3,3,9.1 ,2,3489,3129
96,1,8361,12332,125,15,两梯八户,2001,3,6,15.0 ,6,3569,4691
85,1,8603,11294,130,13,一梯八户,2001,3,3,12.5 ,7,3993,3133
124.4,1,10404,10690,240,16,一梯四户,2001,3,1,20.4 ,5,4450,4484
124.1,1,10915,12200,250,16,二梯四梯梯,2001,3,3,22.0 ,3,4780,4475
105.6,2,11500,12319,356,7,一梯四户,2001,3,4,24.2 ,1,3830,3800
110.3,1,9585,11441,310,18,两梯八户,2001,3,4,15.6 ,7,3205,4860
110.9,1,11293,9564,375,18,两梯四户,2001,3,5,17.8 ,8,3385,5247
101.4,2,8216,11983,139,7,一梯两户,2001,3,4,31.5 ,3,4637,7618
88.7,2,7032,10938,130,7,一梯三户,2001,3,4,19.2 ,3,3838,4873
123.7,1,13502,7860,765,31,三梯十四户,2001,2,1,36.3 ,3,6803,6482
107.4,1,10387,12038,335,11,俩梯四户,2001,3,8,25.1 ,2,3695,6795
105.6,2,11621,10996,330,7,一梯四户,2001,3,2,15.1 ,3,3681,4090
160.9,1,9808,11641,480,7,一梯四户,2001,3,4,18.8 ,3,4601,4077
107.2,1,12137,11857,300,7,一梯四户,2001,3,1,14.8 ,3,3817,3870
110,1,10795,11032,440,18,两梯四户,2001,3,2,18.0 ,1,3493,5155
110,1,10633,11362,335,18,两梯四户,2001,3,4,15.0 ,7,4095,3728
88.3,1,10600,10235,310,7,一梯四户,2001,3,8,17.2 ,2,3855,4470
154,1,,14798,468,11,两梯四户,2001,3,5,24.2 ,6,4707,5156
149.2,1,14059,10885,576,15,两梯十六户,2001,2,2,43.9 ,3,4060,9580
99.9,1,8480,13520,676,18,两梯九户,2001,1,7,27.5 ,6,8652,2970
86.1,1,9845,7110,568,20,两梯八户,2001,1,3,19.6 ,3,2720,6225
91,1,10355,9245,660,32,三梯二十户,2001,2,2,36.0 ,2,5276,9245
144.1,1,14115,11085,800,31,三梯八户,2001,2,3,28.0 ,4,4675,7820
85.5,1,10968,9041,435,18,二梯二十户,2001,2,3,25.7 ,4,4477,4469
96.7,1,9540,11485,600,31,三梯八户,2001,2,4,31.2 ,1,4817,4961
83.5,1,7167,10781,645,32,三梯三十户,2001,2,3,20.4 ,7,2958,6924
113.1,1,9884,9025,395,31,五梯三户,2001,3,3,20.4 ,3,4202,1743
81.9,1,8055,10148,458,9,一梯四户,2001,1,3,23.5 ,3,3357,6276
93.2,1,10814,11352,500,16,两梯八户,2001,1,2,33.5 ,1,6018,8029
75,2,9997,8724,238,5,一梯四户,2001,3,2,8.3 ,3,3630,2291
107.2,2,11648,11571,295,7,一梯四户,2001,3,2,13.0 ,7,3828,3383
81,2,10212,10822,270,7,一梯四户,2001,3,1,23.0 ,3,3831,6995
89.6,2,8387,11488,298,7,一梯四户,2001,3,4,21.7 ,5,3641,4207
89.6,2,11211,8873,300,7,一梯四户,2001,3,4,29.0 ,5,3573,8831
108,1,10428,12084,305,11,两梯四户,2001,3,5,27.0 ,2,3925,6878
105.6,2,11350,10982,333,7,一梯四户,2001,3,7,26.5 ,2,3830,8555
110,1,10273,11242,335,18,两梯四户,2001,3,3,35.1 ,7,3855,
106.6,1,10468,12060,329,11,两梯四户,2001,3,5,37.0 ,4,3965,6746
109.9,1,9956,11332,325,18,两梯四户,2001,3,3,25.1 ,7,3404,7365
106.7,1,10144,11812,340,11,两梯四户,2001,3,1,24.0 ,3,3641,6585
110,1,6974,10782,336,18,两梯四户,2001,3,4,24.6 ,7,3426,7171
107.4,1,10368,9894,315,11,两梯四户,2001,3,6,26.1 ,6,3865,6746
107,2,12004,10845,333,7,一梯四户,2001,3,2,29.8 ,7,3794,7860
110.3,1,9585,10949,3310,18,两梯八户,2001,3,3,22.9 ,7,3205,
99.3,2,10635,14197,508,9,一梯两户,2001,2,3,26.3 ,7,3407,7703
85.2,2,8607,11769,198,,一梯两户,2001,3,8,33.6 ,3,8208,8241
87.4,1,12010,7070,738,22,三梯九户,2001,2,3,0.0 ,9,0,0
96.1,1,12572,8049,385,9,二梯一梯一梯,2001,1,3,25.7 ,7,4467,6500
104.2,1,7290,13585,620,18,两梯八户,2001,1,1,14.8 ,3,3112,4767
90.7,1,7440,11171,470,9,一梯四户,2001,1,1,19.4 ,1,3746,5179
95.5,1,12639,8209,480,12,一梯四户,2001,1,3,12.5 ,1,3871,3240
75.3,1,6715,10935,204,6,一梯两户,2001,3,2,23.7 ,3,3067,4288
107.9,1,12848,7972,358,6,一梯两户,2001,2,2,20.3 ,1,3378,5970
95.5,1,7725,12639,480,12,一梯四户,2001,1,3,30.7 ,1,3853,6690
56.1,2,8583,5892,445,9,一梯四梯梯,2001,2,1,13.7 ,7,5559,2570
95.8,2,8528,9750,565,9,一梯三梯,2001,2,3,28.7 ,3,4996,3304
136.8,1,10080,13170,415,11,一梯两户,2001,3,3,15.8 ,3,3650,4330
145.6,1,11820,11572,1146,31,两梯五户,2001,2,3,35.8 ,3,4036,9347
93,2,9045,10194,240,6,一梯八户,2001,3,5,25.4 ,8,3444,8632
124.1,1,10340,10340,200,16,二梯四梯梯,2001,3,3,37.0 ,3,6820,6820
126.1,1,9634,11588,240,16,二梯四梯梯,2001,3,2,31.4 ,3,3601,9748
144.7,1,10879,9337,217,15,一梯二梯,2001,3,4,40.6 ,3,4287,5387
109.6,1,8116,13528,730,32,三梯八户,2001,2,2,31.3 ,5,7141,3686
83.4,1,10264,9134,500,32,三梯八户,2001,2,2,25.0 ,5,3418,4894
99.2,2,10324,6978,315,6,一梯四户,2001,3,5,14.5 ,8,4153,3489
97.6,1,9468,10276,200,11,一梯四梯梯,2001,2,1,25.1 ,7,3246,6503
90.4,2,9593,10642,260,6,一梯四户,2001,3,3,31.1 ,3,3477,8896
105,1,7689,14186,668,32,两梯六户,2002,2,2,30.5 ,5,4122,5992
87,2,9480,9350,175,6,一梯四梯梯,2002,3,6,14.4 ,6,3905,3880
88,2,8273,10716,206,7,一梯两户,2002,1,4,21.1 ,7,3755,5317
93.6,1,11030,9195,610,32,两梯八户,2002,1,2,0.0 ,9,0,0
144,1,13178,10546,960,23,三梯六户,2002,1,4,0.0 ,9,0,0
200.6,1,16638,11072,1200,29,两梯二十一户,2002,1,2,45.6 ,3,7626,5981
104.5,2,11237,10440,236,6,一梯四梯梯,2002,3,3,22.2 ,7,3784,8361
113.3,1,11304,10269,265,11,一梯四梯梯,2002,3,4,20.6 ,7,3821,8260
114.5,1,11678,9698,248,6,一梯四梯梯,2002,3,4,32.5 ,3,3771,6236
134.7,1,11103,10209,505,9,一梯两户,2002,3,3,17.1 ,7,3489,4293
84.2,1,7981,9660,520,28,三梯十户,2002,2,1,7.3 ,9,3245,2260
110.2,1,11133,10369,253,11,一梯四梯梯,2002,3,4,15.1 ,7,3803,3980
86.9,1,9215,10392,230,6,一梯四梯梯,2002,3,4,15.5 ,7,3757,4129
121.5,1,12510,9925,698,30,两梯七户,2002,2,6,37.9 ,4,5715,8498
91.5,1,7053,14310,500,30,三梯一梯,2002,1,2,34.8 ,7,2215,7850
112.5,1,6302,15776,650,30,三梯一梯,2002,1,2,28.6 ,7,5505,5128
10.8,1,11891,6648,650,9,二梯六梯,2002,1,2,10.8 ,9,3173,4243
79.3,1,11785,6685,640,9,二梯六梯,2002,1,1,26.1 ,3,6300,4845
108.7,1,11231,15830,505,30,三梯一梯,2002,1,2,28.2 ,3,3903,6635
133,1,9069,12465,530,46,八梯十一户,2002,2,3,41.3 ,7,3445,10100
94.6,1,8310,11748,447,21,两梯八户,2002,2,3,21.0 ,3,3450,6100
75.5,1,7451,9813,585,38,三梯十六户,2002,1,1,24.7 ,7,4334,6837
93.7,1,10333,9642,320,6,一梯四梯梯,2002,3,3,17.2 ,7,3970,4342
165,1,11915,16352,1150,10,一梯两户,2002,1,1,41.7 ,3,5327,9682
84.2,1,8871,9630,520,28,三梯十户,2002,2,1,7.3 ,9,3245,2260
104.7,2,11513,9283,289.8,6,一梯三户,2002,3,1,23.5 ,7,4114,5717
107.7,1,7415,12605,420,15,二梯六梯,2002,1,2,35.8 ,3,3560,10880
97.9,1,7763,11136,500,19,二梯八梯,2002,1,4,27.4 ,3,3786,6650
77.8,2,8015,8570,256,9,一梯六梯,2002,1,3,23.4 ,3,4080,5335
86.4,1,6888,11420,500,28,两梯十四户,2002,2,2,25.8 ,4,4401,5820
113.8,1,14375,7480,355,7,一梯四户,2002,3,2,21.2 ,7,4570,4628
98.8,1,10960,12034,395,26,三梯八户,2002,1,3,25.0 ,5,6194,3541
95.5,2,9950,9941,268,6,一梯四户,2002,3,1,16.4 ,7,3900,4193
70.1,2,8155,10555,191,6,一梯四户,2002,3,2,14.5 ,3,3890,3732
83,2,9865,8378,230,6,一梯四户,2002,3,6,20.0 ,8,4010,5336
91.8,1,10008,9506,395,11,一梯四户,2002,3,2,16.7 ,3,4033,4162
98,2,8476,13421,365,6,一梯两户,2002,3,7,19.4 ,4,4144,4844
102.2,2,9907,10563,252,6,一梯四户,2002,3,2,29.7 ,7,3719,7184
97.1,2,9844,9584,265,5,一梯四户,2002,3,2,27.4 ,3,3843,7189
82.6,1,6916,10527,330,21,两梯十二户,2002,2,8,11.0 ,4,4253,2586
95.6,1,8824,10115,448,21,两梯十二户,2002,2,4,38.2 ,1,7105,5465
82.1,1,7860,13429,425,8,一梯四梯梯,2002,1,2,24.5 ,1,3732,6521
83,1,7500,12891,350,8,一梯四梯梯,2002,1,2,22.0 ,5,3681,5966
93.7,1,11864,7878,430,9,一梯四梯梯,2002,1,5,29.6 ,2,11864,4316
97,1,7791,13193,460,9,一梯三梯,2002,1,3,36.0 ,7,7891,9068
87,1,7863,10691,570,26,两梯八户,2002,1,1,11.5 ,3,2640,4355
129.9,1,13798,8412,1260,33,三梯梯六梯户,2002,1,1,41.6 ,3,6398,8412
100.7,2,12372,9218,300,7,一梯四户,2002,3,4,29.8 ,7,4450,7238
106.9,1,10759,9785,442,10,一梯四户,2002,3,1,12.2 ,7,3910,3122
105.3,2,9787,9145,365,6,一梯四户,2002,3,1,13.9 ,7,4108,3375
106.5,1,10449,9484,410,10,一梯四户,2002,3,1,12.0 ,7,3974,3031
108,1,10070,2722,395,11,一梯四户,2002,3,2,16.0 ,3,4033,3961
108,1,9594,8405,360,11,一梯四户,2002,3,1,13.7 ,7,3830,3567
98,2,8038,12277,365,6,一梯两户,2002,3,7,19.4 ,4,4144,4844
132.5,1,13595,9338,436,15,一梯三户,2002,3,3,36.7 ,5,4052,8043
110.1,1,10247,10563,375,10,一梯四户,2002,3,2,28.7 ,3,3843,7460
101,2,7560,12327,250,8,一梯两户,2002,3,3,41.3 ,3,7560,5300
127.8,2,11015,12305,350,8,一梯两户,2002,3,4,43.0 ,3,3234,1360
100.8,1,9586,10031,900,20,二梯六梯,2002,2,4,28.0 ,3,6309,7350
99,2,11161,10208,265,6,一梯四户,2002,3,4,15.1 ,7,3720,4068
109.7,1,9642,12035,835,9,一梯六户,2003,2,4,33.3 ,7,4437,7053
84,2,10460,9310,186,6,一梯四梯梯,2003,3,1,19.8 ,7,4440,4725
71,2,8337,11307,155,7,一梯三户,2003,1,2,16.0 ,1,3523,4548
107,1,10183,10870,350,11,一梯四梯梯,2003,3,1,29.6 ,3,4169,9522
76.3,1,6130,9570,190,9,一梯八户,2003,3,4,10.9 ,1,3160,3460
110.7,1,10230,10249,358,18,一梯三梯,2003,3,1,20.1 ,6,4489,4475
77.2,1,10679,7483,328,12,一梯六户,2003,1,3,25.6 ,3,4385,4764
72.7,1,8802,8299,320,12,一梯三户,2003,1,2,21.4 ,7,3407,5668
77.2,1,10805,8415,322,12,一梯六户,2003,1,4,26.8 ,3,4665,4791
74.4,2,7984,9725,303,9,一梯四户,2003,1,1,26.3 ,5,3670,8166
96.7,1,9272,105003,298,9,一梯四户,2003,3,1,17.3 ,7,3628,4514
129,1,12462,10814,430,9,一梯四户,2003,3,4,18.0 ,3,4483,4011
112,1,9330,10967,470,6,一梯六户,2003,1,2,31.6 ,7,3964,8180
101.8,1,9464,9928,355,19,二梯六梯,2003,3,2,18.9 ,3,3975,4755
107.4,1,9825,11045,345,11,一梯四户,2003,3,2,19.3 ,3,4150,4647
112.6,2,11258,12691,490,6,一梯两户,2003,1,8,39.1 ,2,5497,9907
121.4,2,9400,14643,233,7,一梯四户,2003,3,4,20.3 ,3,4144,5525
89.7,2,9524,10975,190,7,一梯四户,2003,3,3,28.9 ,7,3423,8445
77.2,1,8846,10086,322,12,一梯六梯,2003,1,3,26.8 ,1,4791,5693
91,1,10772,7725,350,25,三梯一梯二梯,2003,1,4,30.3 ,3,3047,6235
120,1,12278,12176,478,18,二梯7,2003,1,2,35.7 ,3,3680,8520
90.4,1,14843,8121,460,9,一梯七户,2003,1,3,37.9 ,1,4566,4874
85.5,1,8393,9342,595,15,两梯二十户,2003,2,4,18.8 ,6,3325,4376
88.2,2,8442,10298,245,6,一梯四户,2003,3,1,12.3 ,3,4098,3008
89,2,8845,9515,323,9,一梯七户,2003,2,1,24.6 ,1,6775,3755
141.4,1,15018,9186,750,30,三梯七户,2003,2,2,47.5 ,7,7261,9186
132.4,2,13052,9865,628,11,一梯二梯,2003,1,2,21.3 ,9,4616,4617
109.3,2,9028,11258,458,11,一梯三梯,2003,1,8,31.9 ,8,1797,11580
91.3,2,8735,10827,410,11,一梯四梯梯,2003,1,1,17.2 ,7,3557,4875
107.3,2,10548,10397,550,11,一梯二梯,2003,1,3,20.7 ,3,3974,7522
109.2,2,10854,10128,413,11,一梯三梯,2003,1,2,29.4 ,3,3814,8625
107.5,2,10687,10268,455,11,一梯四梯梯,2003,1,2,32.4 ,3,4035,8349
134,2,1498,9265,680,11,一梯二梯,2003,1,4,24.8 ,3,4985,5069
111.2,2,11269,9458,490,11,一梯三梯,2003,1,2,30.7 ,3,3708,9465
94.4,2,9798,11318,190,6,一梯四户,2003,3,2,24.1 ,3,9798,6576
94.4,2,9798,11318,190,6,一梯四户,2003,3,2,24.1 ,3,9798,6576
83.7,2,9736,11456,190,6,一梯四户,2003,3,2,26.7 ,3,3911,6841
77.7,1,10980,7255,450,9,三梯三户,2003,1,2,26.4 ,7,5785,5740
87.3,2,10544,9962,320,9,一梯七户,2003,2,2,28.8 ,7,8834,6203
90.2,1,8144,10650,520,20,三梯十五户,2003,2,2,32.9 ,7,4927,9252
85.8,1,10383,9269,560,9,一梯二梯,2003,1,2,20.8 ,3,10846,3924
87.9,1,10820,10561,798,9,一梯二梯,2003,1,4,29.3 ,3,10820,4237
95.4,1,10747,10105,800,9,三梯一梯,2003,1,3,31.7 ,5,10747,3566
99.6,1,11040,6625,205,9,一梯四户,2003,2,1,38.2 ,5,3675,8452
95.6,1,11711,7383,255,9,一梯四户,2003,2,3,33.2 ,3,3807,8495
101,1,9432,9879,275,18,两梯十户,2003,2,3,30.6 ,1,6984,5230
128.7,1,12603,11495,1040,28,二梯梯六梯户,2003,1,1,22.5 ,7,5132,5635
108.1,1,9588,12192,472,19,三梯八户,2003,3,2,16.0 ,7,3610,4439
141,1,16247,8855,627,19,两梯六户,2003,3,3,13.8 ,3,4163,3322
90.8,1,7266,8603,300,12,一梯四梯梯,2003,3,1,30.2 ,7,3620,7185
68.4,1,8154,6674,345,9,八梯八户,2003,2,2,20.9 ,7,3157,6674
109.9,1,10349,10980,475,9,一梯五户,2003,1,1,24.2 ,5,3565,6540
118.6,1,10560,12574,650,9,一梯五户,2003,1,1,39.0 ,3,8680,5213
128,1,9202,14656,1220,13,一梯三户,2003,1,3,37.7 ,7,4175,5470
93,2,10252,11150,203,6,一梯四户,2003,3,2,22.3 ,3,3452,6473
102,2,11522,10008,240,6,一梯四户,2003,3,2,30.1 ,3,4040,8639
104.6,2,11051,11003,235,6,一梯四户,2003,3,1,30.8 ,7,3594,9532
90.3,2,9512,11426,230,6,一梯四户,2003,3,2,23.7 ,3,3497,6729
103.4,1,9677,10674,300,17,两梯四户,2003,3,3,28.3 ,7,3800,7931
87,1,9785,12707,638,18,二梯六梯,2003,1,5,26.1 ,2,3707,5778
104.5,1,8304,11525,810,30,三梯十户,2004,2,7,20.3 ,2,5417,2800
93,1,8527,11977,350,17,二梯九梯,2004,1,1,14.6 ,1,3459,4369
117,1,14227,8151,1020,30,三梯八户,2004,1,2,0.0 ,9,0,0
128,1,10996,11675,1420,30,三梯八户,2004,1,1,0.0 ,9,0,0
91.3,1,12516,8254,630,28,三梯八户,2004,1,1,0.0 ,9,0,0
95.7,1,9926,11751,308,18,两梯七户,2004,1,1,13.7 ,3,4200,3262
81,1,7900,10400,203,6,一梯四户,2004,3,1,16.0 ,7,3700,4300
99.9,1,10912,9582,500,30,三梯八户,2004,2,2,27.6 ,7,6375,3733
120,1,10185,12662,1260,31,三梯七户,2004,2,3,32.1 ,3,3913,9392
117.2,1,11279,11349,770,31,三梯九梯,2004,1,3,27.7 ,9,7263,4545
116.3,1,10058,12898,1160,36,三梯七户,2004,1,1,29.9 ,5,3630,6447
102,2,8610,13435,245,6,一梯两户,2004,3,1,24.0 ,5,3905,6155
109.4,2,11660,11375,257,6,一梯四户,2004,3,2,19.9 ,3,3940,5047
92.9,1,8267,11871,550,22,三梯八户,2004,1,1,35.4 ,7,5478,7069
78,1,10660,7255,660,24,三梯十户,2004,2,8,21.8 ,4,4005,4500
127.8,1,9465,14585,890,27,两梯八户,2004,2,7,28.5 ,4,5970,4770
96.1,1,9877,9966,595,27,两梯八户,2004,2,8,33.6 ,3,5330,4977
96.1,1,11328,8745,419,10,一梯四梯梯,2004,3,4,14.4 ,1,4025,3440
143.9,1,11620,15025,620,17,一梯四梯梯,2004,3,8,24.6 ,8,6258,4084
121.3,1,11650,14050,372,11,一梯三梯,2004,3,2,15.5 ,3,3720,4050
86,1,8122,7989,75,13,一梯四户,2004,3,1,15.7 ,5,3051,3067
105.4,1,17055,8950,315,31,三梯八梯,2004,3,4,15.8 ,3,3730,4225
107.5,1,14698,8464,307,29,三梯八梯,2004,3,4,13.0 ,1,3662,3561
102.7,1,12193,8923,420,16,两梯八户,2004,1,3,31.0 ,3,6089,5860
122,1,9917,11984,188,6,两梯两户,2004,3,3,24.3 ,7,4810,5160
96.1,1,10117,9966,595,27,两梯八户,2004,2,8,33.6 ,6,5723,4977
104.5,1,11470,8113,810,30,三梯十户,2004,2,7,20.3 ,9,5417,4958
95.7,1,9926,12283,308,18,两梯七户,2004,1,2,27.4 ,3,4836,5657
94,1,7223,11187,350,12,两梯四户,2004,1,8,29.6 ,1,3488,7223
93.3,1,7170,10963,320,12,两梯四户,2004,1,1,22.7 ,5,3318,7170
94.3,2,8690,9896,320,7,一梯五户,2004,1,5,24.2 ,2,3412,7085
94.1,2,9374,10293,300,7,一梯四户,2004,1,1,30.5 ,3,3514,8613
88.5,2,9859,8913,295,7,一梯五户,2004,1,1,27.0 ,3,3416,6577
85.9,2,9429,8728,299,7,一梯五户,2004,1,2,28.3 ,7,3437,7127
100.5,1,11840,9466,485,17,两梯六户,2004,1,3,30.8 ,3,5798,5849
98.6,1,11892,9732,281,10,一梯四户,2004,3,3,17.4 ,3,3665,4755
103.8,1,11765,8603,296,10,一梯四户,2004,3,3,16.2 ,7,3779,4305
94.6,1,11796,110854,290,10,一梯四户,2004,3,1,13.4 ,7,3565,3759
95.6,1,11651,10721,302,10,一梯四户,2004,3,8,14.3 ,2,3577,3998
111.9,1,11862,14332,346,11,一梯三户,2004,3,8,14.9 ,1,3779,3963
103,1,11693,7973,738,25,三梯八户,2004,1,1,30.0 ,1,6480,5427
145.3,1,13364,15363,1850.9,32,两梯四户,2004,1,3,41.4 ,7,6290,5110
110.5,1,12906,6729,595,31,三梯九户,2004,2,1,12.6 ,5,3853,3282
119.6,1,10411,14608,388,23,两梯九户,2004,3,1,24.0 ,3,3848,6232
105.6,1,10344,9449,355,6,一梯四户,2004,3,3,21.0 ,3,3997,5203
65.1,2,8526,8080,235,10,一梯十户,2004,1,1,24.9 ,5,5723,6257
84,1,7719,12995,355,26,两梯八户,2004,1,3,19.0 ,5,5550,3195
102.7,1,12373,7514,420,16,两梯八户,2004,1,4,31.0 ,7,6149,5860
102.7,1,12375,7317,380,16,两梯八户,2004,1,4,29.2 ,7,6352,3428
83.5,1,8001,13154,375,26,两梯八户,2004,1,4,18.8 ,3,5474,3378
105.4,1,7040,16307,288,31,三梯八户,2004,3,2,11.9 ,2,3286,3625
98.5,2,10110,10984,278,6,一梯四户,2004,3,1,18.4 ,8,3993,4600
88.3,2,,10240,310,7,一梯四户,2004,3,5,31.9 ,2,6705,3855
100.9,2,11580,9734,300,7,一梯四户,2004,3,2,15.0 ,3,4046,3714
138.4,2,11222,9118,282,6,一梯四户,2004,3,1,16.9 ,7,4055,4180
91,2,8760,12412,245,6,一梯四户,2004,3,4,15.3 ,3,3858,3977
94.6,2,9092,11476,230,6,一梯四户,2004,3,2,19.3 ,3,3863,4990
108,2,11589,11401,280,6,一梯四户,2004,3,1,19.6 ,7,4143,4722
90,2,13987,105004,240,6,一梯四户,2004,3,1,17.5 ,7,4128,4243
114,2,12174,10621,286.8,7,一梯四户,2004,3,7,20.2 ,4,4227,4787
81,2,9534,10150,235,6,一梯四户,2004,3,2,14.8 ,3,3844,3850
112.2,1,12490,8540,1138,36,三梯七户,2004,2,3,0.0 ,9,0,0
81.9,1,8278,11897,325,16,两梯八户,2004,1,2,24.6 ,1,6206,5393
115.9,1,9602,14758,869,32,三梯八户,2004,2,2,24.8 ,3,6184,4119
117,1,8955,14185,748,32,三梯八户,2004,2,1,41.5 ,7,6250,4155
71.8,1,3080,8105,405,19,两梯七户,2004,2,2,24.0 ,7,3080,8105
73.9,1,8645,10445,425,19,两梯八户,2004,2,2,13.2 ,7,2710,4545
83.3,1,8855,9947,465,19,两梯八户,2004,2,2,26.2 ,7,2984,9354
142,1,13556,12136,446,11,一梯二梯,2004,3,3,20.3 ,7,3895,5210
118,1,13940,9896,370,16,二梯六梯,2004,3,7,16.1 ,2,3675,4379
86.5,1,10484,12440,520,18,一梯比三梯,2004,1,1,40.1 ,3,3982,8986
94.7,1,8886,10136,780,20,二梯梯7户,2004,1,2,13.8 ,3,3174,4327
141.7,1,10800,13500,430,11,一梯两户,2004,3,3,24.2 ,3,4170,5810
85.5,1,9093,10110,428,17,两梯八户,2004,1,1,26.1 ,5,3847,3091
94.5,1,10155,8579,470,9,一体七户,2004,1,2,29.3 ,7,6380,4942
104.4,1,9517,10613,300,11,一梯六户,2004,3,1,16.9 ,7,3611,4692
120.4,1,13705,10700,318,23,两梯十户,2004,3,2,35.6 ,3,4001,4843
109.6,2,11671,11972,235,6,一梯四户,2004,3,1,18.2 ,3,3552,5136
99.6,2,8912,11053,243,6,一梯三户,2004,3,3,30.9 ,3,4214,4749
81.5,2,11495,8284,190,7,一梯两户,2004,3,4,15.3 ,3,3620,4231
119.5,1,10990,8099,650,29,两梯六户,2005,2,4,29.4 ,5,4004,6763
81.3,2,9050,11580,266,6,一梯两户（没有说明只能从小区解读中得知,2005,3,3,18.1 ,3,4840,3830
118,1,17147,17888,330,9,未知未说明（小区介绍中说小区均为一梯两户）,2005,3,3,17.0 ,3,4277,4018
96.2,1,10600,8335,175,8,一梯四梯梯,2005,3,1,16.4 ,7,3429,4786
98,1,8115,16099,255,6,一梯二梯,2005,3,3,18.0 ,3,3360,5385
123.3,1,11451,11675,230,8,一梯四梯梯,2005,3,1,20.0 ,7,3219,3500
97.1,1,8165,11981,260,6,一梯二梯,2005,3,3,20.0 ,3,3147,5380
97.1,1,8835,8008,235,6,一梯二梯,2005,3,3,18.0 ,3,3561,5380
97,1,8694,13025,235,6,一梯二梯,2005,3,3,22.0 ,3,3650,5460
110.4,1,10578,12104,220,8,一梯四梯梯,2005,3,2,15.0 ,7,3515,4270
110.4,1,10047,11250,208,8,一梯四梯梯,2005,3,3,15.0 ,7,3860,3880
64.4,1,7060,7810,420,9,一梯三户,2005,1,4,19.9 ,7,2923,4812
127.3,1,9151,14391,1280,38,三梯八户,2005,1,3,30.9 ,7,4233,7890
77.1,1,10375,6905,330,11,一梯四户,2005,1,2,25.0 ,7,3825,5523
78,1,10620,6877,320,11,一梯四户,2005,1,1,25.2 ,3,3779,3829
79.1,1,11053,7102,312,11,一梯四户,2005,1,2,21.2 ,7,11053,7102
122.3,1,12365,9345,550,19,两梯十一户,2005,2,1,12.6 ,3,3535,3564
127.2,1,7674,12100,574,19,二梯十一户,2005,2,2,33.2 ,7,3894,7686
143.5,1,13524,15680,1070,22,三梯四户,2005,2,3,36.6 ,2,4491,5440
103.1,1,12300,10450,350,11,二梯7,2005,3,2,16.5 ,3,3640,4450
91.7,1,10838,8278,720,31,两梯六户,2005,2,2,14.4 ,7,3610,4001
79.2,1,5573,11490,290,15,两梯八户,2005,1,1,18.4 ,5,4214,2868
96.8,1,9292,11840,325,15,两梯八户,2005,1,4,27.0 ,1,5044,6149
108.4,1,8455,15176,340,26,二梯八梯,2005,3,2,19.5 ,3,3730,5222
120.4,1,14104,10894,350,20,二梯六梯,2005,3,4,19.0 ,7,4077,4659
114.6,1,18287,7557,400,26,二梯八梯,2005,3,3,19.1 ,3,4176,4567
109,1,9785,12346,353,19,二梯六梯,2005,3,2,16.8 ,3,3680,4036
107,1,8411,14766,350,35,三梯八梯,2005,3,2,20.2 ,3,3664,5438
95.5,2,8390,12141,190,7,一梯两户,2005,3,4,27.9 ,3,4242,5241
101,1,11420,9655,338,11,两梯七户,2005,3,2,16.4 ,3,3710,4450
102.9,1,9825,11410,350,11,两梯七户,2005,3,4,16.2 ,1,3725,4385
103.1,1,11595,10090,350,11,两梯七户,2005,3,2,16.6 ,3,3640,4560
71.6,1,9346,7334,338,24,二梯7,2005,1,1,12.3 ,9,2341,3813
94.6,2,8576,11609,348,10,一梯四户,2005,1,4,27.4 ,7,3700,7873
94.8,2,8660,11386,350,10,一梯四户,2005,1,3,35.4 ,7,4200,8298
93.2,1,9191,11112,495,22,两梯十五户,2005,2,1,27.2 ,7,4698,3678
88,1,9222,9042,358.3,32,两梯六户,2005,3,1,16.6 ,3,3345,4760
110.6,1,9680,12932,738,36,三梯八户,2005,1,4,34.6 ,7,3774,7704
146.1,1,9302,8626,1088,18,两梯十户,2005,1,6,24.5 ,3,4114,6259
78.4,1,8503,8726,388,26,三梯二十户,2005,1,3,24.3 ,3,5507,6607
92.3,1,9086,8436,380,26,三梯二十户,2005,1,4,27.1 ,3,4980,7799
95.7,1,15787,10475,409,9,一梯十户,2005,2,3,20.7 ,3,6258,3312
85.2,2,8211,11769,198,6,一梯两户,2005,3,3,33.6 ,3,8211,8241
85.2,2,8211,11769,198,6,一梯两户,2005,3,3,33.6 ,3,8211,8241
98,1,10300,11435,418,19,两梯十一户,2005,2,2,23.2 ,1,3767,5555
100.1,1,8610,12212,560,6,二梯四梯梯,2005,1,4,31.4 ,7,6745,7533
